relative_time,BrightnessEV
0,-1.6153248034513947
62,-1.6153248034513947
129,-1.6153248034513947
196,-1.6041842458461941
263,-1.5931290573371986
330,-1.571269623373459
395,-1.5604628684168762
462,-1.5497364618238179
529,-1.5390892176243092
595,-1.5390892176243092
662,-1.5390892176243092
729,-1.5390892176243092
795,-1.528519975914122
862,-1.5180276020964796
929,-1.4972690419296821
996,-1.4972690419296821
1062,-1.487000706475855
1129,-1.4768049393699665
1196,-1.4666807220962592
1262,-1.4466429688597142
1329,-1.4367274999946316
1396,-1.426879714038284
1462,-1.3977333683787678
1529,-1.3691642161819968
1596,-1.350427653600411
1662,-1.3227713106975456
1730,-1.2867020559900237
1796,-1.2690000542565647
1863,-1.2428477664005966
1929,-1.2256726225924643
1996,-1.2002873041725506
2063,-1.1755032688025016
2129,-1.1582252773706658
2196,-1.1407378506418246
2262,-1.11609001130786
2330,-1.0580057022957639
2395,-0.9705136184739903
2462,-0.9100476917181919
2529,-0.8796345444419541
2596,-0.8644965325659861
2662,-0.8340874355434819
2729,-0.7893823823370195
2796,-0.8966564434327446
2862,-0.8377503307939952
2929,-0.7238856460870743
2996,-0.6164541292273763
3062,-0.46954583042875864
3129,-0.3146404599533939
3196,-0.15678464026290617
3262,0.07644294308792425
3329,0.4412361883117807
3396,0.8418099090259528
3462,1.2758132346116366
3529,1.5714667172353045
3596,1.7447725110425716
3662,1.748765961182242
3729,1.492821411586515
3796,1.1519803324921547
3862,0.7260155211681499
3929,0.254819726957814
3995,-0.04909483496355032
4062,-0.28033515821852434
4129,-0.4458787642339549
4195,-0.5680004285893416
4262,-0.6762968629042141
4329,-0.7949841008569124
4396,-0.9045728076731204
4462,-0.9841909009117241
4529,-1.0610298820836161
4596,-1.0928391587329394
4662,-1.1538838964920373
4729,-1.2510843025044591
4796,-1.2083930574279491
4862,-1.2566101233104072
4929,-1.1845516195287176
4996,-1.2070073187038832
5062,-1.2294487741438689
5129,-1.3189929080278333
5196,-1.3937390842734574
5262,-1.4612797934484474
5329,-1.49907353877643
5396,-1.5286016109426277
5462,-1.5507973570568239
5529,-1.5854525975486908
5596,-1.6019817875429034
5662,-1.6683577933082259
5729,-1.7160910142258354
5795,-1.713543456212213
5863,-1.7298760273341742
5929,-1.7473634540630154
5996,-1.7646414454948507
6062,-1.7685710637470764
6129,-1.7607904222282127
6196,-1.7595477042916596
6263,-1.7589603420891324
6328,-1.7583824550231688
6396,-1.7460366478319058
6463,-1.7280650240036564
6529,-1.716660260731407
6596,-1.694117692080319
6664,-1.6829771344751185
6729,-1.6609508281451195
6796,-1.6609508281451195
6864,-1.6500625120023835
6929,-1.628529350452742
6996,-1.6178821062532336
7063,-1.6073128645430461
7129,-1.5968204907254038
7196,-1.5968204907254038
7264,-1.5864038747800653
7328,-1.5760619305586063
7395,-1.5760619305586063
7463,-1.5657935951047792
7529,-1.5657935951047792
7595,-1.5657935951047792
7662,-1.5555978279988907
7729,-1.5555978279988907
7795,-1.5454736107251834
7862,-1.5354199460612605
7929,-1.5354199460612605
7996,-1.5354199460612605
8063,-1.5354199460612605
8129,-1.5354199460612605
8196,-1.5354199460612605
8263,-1.5454736107251834
8329,-1.5657935951047792
8396,-1.5864038747800653
8464,-1.5968204907254038
8529,-1.5968204907254038
8596,-1.5864038747800653
8664,-1.5760619305586063
8729,-1.5555978279988907
8796,-1.5454736107251834
8863,-1.5254358574886384
8929,-1.447957104810921
8996,-1.3834168526162105
9062,-1.3477929428854891
9129,-1.2959540113658712
9196,-1.2532971631993493
9263,-1.1790732908978108
9329,-1.0787326522746983
9396,-0.9860965907037479
9463,-0.9360875129416155
9529,-0.88423179330718
9596,-0.9710294097188734
9663,-0.9615083827799067
9729,-0.8898226725620312
9796,-0.7906428187457669
9863,-0.6774360340146286
9929,-0.518941650666334
9996,-0.352711690102858
10062,-0.16036897761194505
10129,0.06758814520178262
10196,0.31883978013572056
10262,0.5809907743236031
10329,0.7998879280729934
